condition;trial;Word
short;go;accent
short;go;fruit
short;go;memory
short;go;quake
short;go;decay
short;go;drug
short;go;parent
short;go;bottom
short;go;scale
short;go;beach
short;go;sister
short;go;elf
short;go;napkin
short;go;review
short;go;peak
short;go;horror
short;go;dentist
short;go;clinic
short;go;touch
short;go;donkey
short;go;card
short;go;crown
short;go;fight
short;go;land
short;go;pilgrim
short;no-go;affiar
short;no-go;beleif
short;no-go;obiect
short;no-go;noiton
short;no-go;paerl
short;no-go;blause
short;no-go;yahct
short;no-go;sesnor
short;no-go;dagner
short;no-go;expret
short;no-go;widnow
short;no-go;legnth
short;no-go;jaens
short;no-go;heant
short;no-go;oirgin
short;no-go;mililon
short;no-go;ouftit
short;no-go;rythm
short;no-go;muoth
short;no-go;imapct
short;no-go;wolrd
short;no-go;abverb
short;no-go;cemal
short;no-go;hasmter
short;no-go;kindey
